BOUT	About
thirty	thirty
yearn	years
ego	ago
Mite	Miss
Mllll	Maria
Wnrd	Ward
ol	of
Huntingdoo	Huntingdon
with	with
only	only
seven	seven
thouund	thousand
hadthe	pounds
null	had
null	the
good	good
luckw	luck
aﬁnteSir	to
om	captivate
Bertnm	Sir
null	Thomas
null	Bertram
of	of
Mansﬁeld	Mansfield
Park	Park
in	in
null	the
county	county
of	of
Nordumptonmdwbetherebynieedtodtennkofu	Northampton
bemnet’l	and
Indy	to
with	be
I	thereby
null	raised
null	to
the	the
canton	rank
and	of
en	a
name	baronets
null	lady
null	with
null	all
null	the
null	comforts
null	and
null	consequences
of	of
an	an
handnome	handsome
home	house
Ind	and
large	large
income	income
v	null
All	All
untingdnn	Huntingdon
exclaimed	exclaimed
on	on
the	the
gram	greatness
of	of
the	the
match	match
end	and
her	her
uncle	uncle
the	the
ll	lawyer
er	himself
himelf	null
allowed	allowed
her	her
to	to
be	be
at	at
leut	least
three	three
thoun	thousand
pound	pounds
ehort	short
of	of
any	any
nibble	equitable
claim	claim
toiLShehadtonimtobc	to
Ittedbyher	it
null	She
null	had
null	two
null	sisters
null	to
null	be
null	benefited
null	by
null	her
elevation	elevation
and	and
arch	such
of	of
their	their
acquaintance	acquaintance
a	as
thought	thought
Mi	Miss
Ward	Ward
and	and
Mill	Miss
France	Frances
quite	quite
u	as
handnome	handsome
n	as
Mitt	Miss
Marin	Maria
did	did
not	not
temple	scruple
to	to
rediet	predict
their	their
marrying	marrying
with	with
almolt	almost
equal	equal
advent	advantage
t	But
there	there
certainly	certainly
are	are
notlollunymenofluge	not
nuneintheworld	so
uthere	many
Ire	men
yrettyvomen	of
null	large
null	fortune
null	in
null	the
null	world
null	as
null	there
null	are
null	pretty
null	women
to	to
deserve	deserve
them	them
Min	Miss
Ward	Ward
at	at
the	the
and	end
of	of
hslfadozcn	half
yea	a
null	dozen
null	years
found	found
herelf	herself
0in	obliged
to	to
be	be
attached	attached
to	to
the	the
Rev	Rev
Mr	Mr
Norril	Norris
a	a
frie	friend
of	of
her	her
brotheriulaw	brotherinlaw
with	with
Icarcely	scarcely
my	any
private	private
fortune	fortune
and	and
Min	Miss
ancu	Frances
fared	fared
yet	yet
wane	worse
Miu	Miss
Wud’l	Wards
match	match
indeed	indeed
when	when
it	it
came	came
to	to
the	the
int	point
wan	was
not	not
contempt	contemptible
ible	null
Sir	Sir
Thomas	Thomas
being	being
null	happily
able	able
to	to
give	give
hi	his
friend	friend
I	an
IANSFIBLD	income
PARK	in
is	the
income	living
in	of
the	Mansfield
living	and
of	Mr
Munichf	and
and	Mrs
Mr	Norris
and	began
Mn	their
orrin	career
ntheirareero	of
con‘ngll	conjugal
null	felicity
with	with
null	very
little	little
In“	less
I	than
thornnd	a
ayeni’	thousand
millig	a
Frizz	year
null	But
null	Miss
null	Frances
married	married
in	in
the	the
common	common
phrue	phrase
to	to
disohlige	disoblige
her	her
Emily	family
and	and
by	by
ﬁxing	fixing
on	on
a	a
lieutenant	lieutenant
of	of
marines	marines
withnnt	without
education	education
fortune	fortune
or	or
connection	connexions
did	did
it	it
very	very
thoroughly	thoroughly
She	She
could	could
hardly	hardly
have	have
made	made
I	a
more	more
untoward	untoward
choice	choice
Sir	Sir
Thoma	Thomas
Bertnm	Bertram
had	had
interest	interest
which	which
from	from
principle	principle
a	as
well	well
an	as
pride—from	pridefrom
n	a
genenl	general
wieh	wish
of	of
doing	doing
right	right
and	and
a	a
desire	desire
of	of
seeing	seeing
all	all
that	that
were	were
connecred	connected
with	with
him	him
in	in
situation	situations
of	of
respectability	respectability
he	he
would	would
have	have
been	been
glad	glad
to	to
cater	exert
for	for
the	the
advantage	advantage
of	of
Lady	Lady
Bemme	Bertrams
timer	sister
but	but
her	her
hudnnd’e	husbands
roleHon	profession
wan	was
such	such
an	as
no	no
intereet	interest
could	could
reach	reach
and	and
orehe	before
hadrimelodevilenny	he
null	had
null	time
null	to
null	devise
null	any
other	other
method	method
of	of
arising	assisting
them	them
an	an
nbeolute	absolute
breach	breach
between	between
the	the
deter	sisters
had	had
taken	taken
place	place
It	It
was	was
the	the
natural	natural
reeult	result
of	of
the	the
conduct	conduct
of	of
each	each
party	party
and	and
each	such
u	as
I	a
very	very
impnldent	imprudent
mania	marriage
almou	almost
alwnyl	always
produces	produces
To	To
are	save
henelf	herself
from	from
