HARVARD	Sir
COLLEGE	Walter
LIBRARY	Elliot
JANE	null
AUSTEN’S	null
NOVELS	null
mm	null
REGINALD	null
BRIMLEY	null
JOHNSON	null
IN	null
TEN	null
VOLUMES	null
VOL	null
x	null
PERSUASION	null
vjmw	null
may	null
a	null
klm	null
Juneaul	null
WI	null
LONDON	null
Pnbliﬂned	null
by	null
JMDPNT	null
and	null
COMPANY	null
It	null
ALDINI	null
HOUSE	null
in	null
Grant	null
Euﬂern	null
Sheet	null
EC	null
MDCCCXCH	null
PREFACE	null
ERSUASIONwas	null
one	null
of	of
the	null
three	null
novels	null
written	null
between	null
February	null
8”	null
and	null
August	null
8	null
6	null
As	null
the	null
manuscript	null
was	null
subscribed	null
“Finis	null
luly	null
I8	null
3816	null
it	null
is	null
probable	null
that	null
it	null
was	null
written	null
later	null
than	null
Emma	null
Ind	null
MarryEM	null
Purl	null
It	null
appears	null
from	null
Tb	null
Mmir	null
moreover	null
that	null
it	null
was	null
not	null
ﬁnally	null
completed	null
in	null
July	null
for	null
in	null
the	null
original	null
mnuscript	null
the	null
reengagement	null
of	null
Anne	null
and	null
Captain	null
Wentworth	null
was	null
arranged	null
in	null
Admiral	null
Croft’s	null
lodgings	null
This	null
dénoﬁement	null
did	null
not	null
satisfy	null
Miss	null
Austen	null
and	null
she	null
was	null
at	null
ﬁrst	null
depressed	null
about	null
the	null
whole	null
book	null
But	null
she	null
afterwards	null
wrote	null
Chapters	null
X	null
and	null
XI	null
as	null
we	null
now	null
have	null
them	null
which	null
are	null
thus	null
the	null
latest	null
and	null
certainly	null
not	null
the	null
least	null
brilliant	null
an	null
of	null
her	null
works	null
The	null
cancelled	null
chapter	null
is	null
prin	null
in	null
The	null
Memoir	null
NOITHANGEI	null
Assay	null
and	null
Pusussrort	null
By	null
the	null
author	null
of	null
“Pride	null
and	null
Prejudice”	null
“	null
Mansﬁeld	null
Park	null
c	null
With	null
a	null
biographical	null
notice	null
of	null
the	null
author	null
In	null
four	null
volumes	null
London	null
John	null
Murray	null
Alhemarle	null
Street	null
18I8	null
