ACT	Morningroom
I	null
CENE——Marm’ng—roam	null
in	in
ALGERNON’S	Algernons
ﬂat	flat
in	in
Half	HalfMoon
Moon	null
Street	Street
The	The
room	room
is	is
luxuriously	luxuriously
and	and
artistically	artistically
furnished	furnished
The	The
sound	sound
of	of
a	a
piano	piano
is	is
heard	heard
in	in
the	the
adjoining	adjoining
room	room
ANE	Lane
is	is
arranging	arranging
afternoon	afternoon
tea	tea
on	on
the	the
table	table
and	and
‘	null
after	after
the	the
music	music
has	has
ceased	ceased
ALGERNON	Algernon
enters	enters
ALGERNON	Algernon
Did	Did
you	you
hear	hear
what	what
I	I
was	was
playing	playing
Lane	Lane
LANE	Lane
j	null
I	I
didn’t	didnt
think	think
it	it
polite	polite
to	to
listen	listen
sir	sir
‘	Algernon
ALGERNON	Im
I’m	null
sorry	sorry
for	for
that	that
for	for
your	your
sake	sake
I	I
don’t	dont
play	play
ecurately—any	accuratelyany
one	one
can	can
play	play
accurately—but	accuratelybut
I	I
play	play
ith»	with
wonderful	wonderful
expression	expression
As	As
far	far
as	as
the	the
piano	piano
is	is
ncemed	concerned
sentiment	sentiment
is	is
my	my
forte	forte
I	I
keep	keep
science	science
orVLife	for
i	Life
LANE	Lane
I	Yes
2	sir
THE	Algernon
IMPORTANCE	null
OF	null
BEING	null
EARNEST	null
ALGERNON	null
And	And
speaking	speaking
of	of
the	the
science	science
of	of
Life	Life
have	have
you	you
got	got
the	the
cucumber	cucumber
sandwiches	sandwiches
cut	cut
for	for
Lady	Lady
Bracknell	Bracknell
LANE	Lane
Yes	Yes
sir	sir
Hands	Hands
them	them
on	on
a	a
salver	salver
ALGERNON	Algernon
Inspects	Inspects
them	them
takes	takes
two	two
and	and
sits	sits
down	down
on	on
the	the
sofa	sofa
Oh	Oh
by	by
the	the
way	way
Lane	Lane
I	I
see	see
from	from
your	your
book	book
that	that
on	on
Thursday	Thursday
night	night
when	when
Lord	Lord
Shoreman	Shoreman
and	and
Mr	Mr
Worthing	Worthing
were	were
dining	dining
with	with
me	me
eight	eight
bottles	bottles
of	of
champagne	champagne
are	are
entered	entered
as	as
having	having
been	been
consumed	consumed
LANE	Lane
Yes	Yes
sir	sir
eight	eight
bottles	bottles
and	and
a	a
pint	pint
ALGERNON	Algernon
Why	Why
is	is
it	it
that	that
at	at
a	a
bachelor’s	bachelors
establishment	establishment
the	the
servants	servants
invariably	invariably
drink	drink
the	the
champagne	champagne
I	I
ask	ask
merely	merely
for	for
information	information
LANE	Lane
I	I
attribute	attribute
it	it
to	to
the	the
superior	superior
quality	quality
of	of
the	the
wine	wine
sir	sir
I	I
have	have
often	often
observed	observed
that	that
in	in
married	married
households	households
the	the
champagne	champagne
is	is
rarely	rarely
of	of
a	a
ﬁrst—rate	firstrate
brand	brand
ALGERNON	Algernon
Good	Good
Heavens	heavens
Is	Is
marriage	marriage
so	so
demoralizing	demoralising
as	as
that	that
‘	Lane
LANE	null
I	I
believe	believe
it	it
is	is
a	a
very	very
pleasant	pleasant
state	state
sir	sir
I	I
have	have
had	had
very	very
little	little
experience	experience
of	of
it	it
myself	myself
up	up
to	to
the	the
present	present
I	I
have	have
only	only
been	been
married	married
once	once
That	That
was	was
riMPORTANCE	null
OF	null
BEING	null
EARNEST	null
3	null
in	in
Consequence	consequence
of	of
a	a
misunderstanding	misunderstanding
between	between
mySelfand	myself
null	and
a	a
young	young
person	person
ALGERNON	Algernon
Langmdly	Languidly
I	I
don’t	dont
know	know
that	that
I	I
am	am
much	much
interested	interested
in	in
your	your
family	family
life	life
Lane	Lane
‘	Lane
LANE	null
«	null
No	No
sir	sir
it	it
is	is
not	not
a	a
very	very
interesting	interesting
subject	subject
I	I
never	never
think	think
of	of
it	it
myself	myself
ALGERNON	Algernon
Very	Very
natural	natural
I	I
am	am
sure	sure
That	That
will	will
do	do
Lane	Lane
ank	thank
you	you
r	Lane
LANE	null
j	null
Thank	Thank
you	you
sir	sir
LANE	Lane
goes	goes
out	out
ALGERNON	Algernon
Lane’s	Lanes
views	views
on	on
marriage	marriage
seem	seem
somewhat	somewhat
lax	lax
ally	Really
if	if
the	the
lower	lower
orders	orders
don’t	dont
set	set
us	us
a	a
good	good
ex—	example
ample	null
what	what
on	on
earth	earth
is	is
the	the
use	use
of	of
them	them
They	They
seem	seem
as	as
a	a
class	class
to	to
have	have
absolutely	absolutely
no	no
sense	sense
of	of
moral	moral
responsibility	responsibility
r	null
Enter	Enter
LANE	Lane
LANE	Lane
I	null
Mr	Mr
Ernest	Ernest
Worthmg	Worthing
’	null
I	null
Enter	Enter
JACK	Jack
LANE	Lane
goes	goes
out	out
ALGERNON	Algernon
ow	How
are	are
you	you
my	my
dear	dear
Ernest	Ernest
What	What
brings	brings
u	you
up	up
to	to
town	town
‘	Jack
‘	null
JACK	null
Oh	Oh
pleasure	pleasure
pleasure	pleasure
aWhat	What
else	else
should	should
bring	bring
null	one
anywhere	anywhere
Eating	Eating
as	as
usual	usual
I	I
see	see
Algy	Algy
V	Algernon
4	Stiffly
X	null
4‘	null
THE	null
IMPORTANCE	null
OF	null
BEING	null
BARNEST	null
ALGERNON‘	null
Stiﬂiy	null
I	I
believe	believe
it	it
is	is
customaryin	customary
null	in
good	good
society	society
to	to
take	take
some	some
slight	slight
refreshment	refreshment
at	at
ﬁve	five
o’clock	oclock
Where	Where
have	have
you	you
been	been
since	since
last	last
Thursday	Thursday
JACK	Jack
Sitting	Sitting
down	down
on	on
the	the
sofa	sofa
In	In
the	the
country	country
ALGERNON	Algernon
What	What
on	on
earth	earth
do	do
you	you
do	do
there	there
JACK	Jack
Pulling	Pulling
ojjc	off
his	his
glovesj	gloves
When	When
one	one
is	is
in	in
town	town
one	one
amuses	amuses
oneself	oneself
When	When
one	one
is	is
in	in
the	the
country	country
one	one
amuses	amuses
other	other
people	people
It	It
is	is
excessively	excessively
boring	boring
ALGERNON	Algernon
And	And
who	who
are	are
the	the
people	people
you	you
amuSe	amuse
JACK	Jack
Airily	Airily
Oh	Oh
neighbors	neighbours
neighbors	neighbours
ALGERNON	Algernon
‘	null
I	null
Got	Got
nice	nice
neighbors	neighbours
in	in
your	your
part	part
of	of
Shropshire	Shropshire
JACK	Jack
Perfectly	Perfectly
horrid	horrid
Never	Never
speak	speak
to	to
one	one
of	of
them”	them
ALGERNON’	Algernon
How	How
immensely	immensely
you	you
must	must
amuse	amuse
them	them
Goes	Goes
over	over
and	and
takes	takes
sandwich	sandwich
By	By
the	the
way	way
Shropshire	Shropshire
IS	is
your	your
county	county
is	is
it	it
not	not
JACK	Jack
Eh	Eh
Shropshire	Shropshire
Yes	Yes
of	of
course	course
Hallo	Hallo
Why	Why
all	all
these	these
cups	cups
Why	Why
cucumber	cucumber
sandwiches	sandwiches
Why	Why
L	null
THE	null
IMPORTANCE	null
OF	null
BEING	null
EARNEST	null
3	null
such	such
reckless	reckless
extravagance	extravagance
in	in
one	one
so	so
young	young
Wha	Who
is	is
coming	coming
to	to
tea	tea
ALGERNON	Algernon
r	null
Oh	Oh
merely	merely
Aunt	Aunt
Augusta	Augusta
and	and
Gwendolen	Gwendolen
JACK	Jack
How	How
perfectly	perfectly
delightful	delightful
ALGERNON	Algernon
Yes	Yes
that	that
is	is
all	all
very	very
well	well
but	but
I	I
am	am
afraid	afraid
Aunt	Aunt
Augusta	Augusta
won’t	wont
quite	quite
approve	approve
of	of
your	your
being	being
here	here
JACK	Jack
May	May
I	I
ask	ask
why	why
ALGERNON	Algernon
My	My
dear	dear
fellow	fellow
the	the
way	way
you	you
ﬂirt	flirt
with	with
Gwendolen	Gwendolen
is	is
perfectly	perfectly
disgraceful	disgraceful
It	It
is	is
almost	almost
as	as
bad	bad
as	as
the	the
way	way
Gwendolen	Gwendolen
ﬂirts	flirts
with	with
you	you
JACK	Jack
I	I
am	am
in	in
love	love
with	with
Gwendolen	Gwendolen
I	I
have	have
come	come
up	up
to	to
town	town
expressly	expressly
to	to
propose	propose
to	to
her	her
ALGERNON	Algernon
I	I
thought	thought
you	you
had	had
Come	come
up	up
for	for
pleasure	pleasure
I	I
call	call
that	that
business	business
JACK	Jack
How	How
utterly	utterly
unromantic	unromantic
you	you
are	are
ALGERNON	Algernon
I	I
really	really
don’t	dont
see	see
anything	anything
romantic	romantic
in	in
proposing	proposing
It	It
is	is
veryromantic	very
null	romantic
to	to
be	be
in	in
love	love
But	But
there	there
is	is
nothg	nothing
romantic	romantic
about	about
a	a
deﬁnite	definite
proposal	proposal
Why	Why
one	one
may	may
be	be
accepted	accepted
I	null
One	One
usually	usually
is	is
I	I
believe	believe
Then	Then
6	null
THE	null
IMPORTANCE	null
OF	null
BEING	null
EARNEST	null
the	the
excitement	excitement
is	is
all	all
over	over
The	The
very	very
essence	essence
of	of
romance	romance
is	is
uncertainty	uncertainty
If	If
ever	ever
I	I
getmarried	get
I‘ll	married
null	Ill
certainly	certainly
try	try
to	to
forget	forget
the	the
fact	fact
JACK	Jack
I	I
have	have
no	no
doubt	doubt
about	about
that	that
dear	dear
Algy	Algy
The	The
Divorce	Divorce
Court	Court
was	was
specially	specially
invented	invented
for	for
people	people
whose	whose
memories	memories
ares’o	are
null	so
curiously	curiously
constituted	constituted
ALGERNON	Algernon
Oh	Oh
there	there
is	is
no	no
use	use
speculating	speculating
onthat	on
null	that
subject	subject
Divorces	Divorces
are	are
made	made
in	in
Heaven	HeavenJack
JACK	null
puts	puts
out	out
his	his
hand	hand
to	to
take	take
a	a
sandwich	sandwich
ALGERNON	Algernon
at	at
once	once
‘	null
interferes	interferes
Please	Please
don’t	dont
touch	touch
the	the
cucumber	cucumber
sandwiches	sandwiches
They	They
are	are
ordered	ordered
specially	specially
for	for
Aunt	Aunt
Augusta	Augusta
Takes	Takes
one	one
and	and
eats	eats
it	it
JACK	Jack
Well	Well
you	you
have	have
been	been
eating	eating
them	them
all	all
the	the
time	time
ADGERNON	Algernon
That	That
is	is
quite	quite
a	a
different	different
matter	matter
She	She
is	is
my	my
aunt	aunt
Takes	Takes
plate	plate
from	from
below	below
Have	Have
some	some
bread	bread
and	and
butter	butter
The	The
bread	bread
and	and
butter	butter
is	is
for	for
Gwendolen	Gwendolen
Gwendolen	Gwendolen
is	is
devoted	devoted
to	to
bread	bread
and	and
butter	butter
JACK	Jack
Advancing	Advancing
to	to
table	table
and	and
helping	helping
himself	himself
And	And
very	very
good	good
bread	bread
and	and
butter	butter
itis	it
null	is
too	too
ALGERNON	Algernon
Well	Well
my	my
dear	dear
fellow	fellow
you	you
need	need
not	not
eat	eat
as	as
if	if
you	you
were	were
going	going
to	to
eat	eat
it	it
all	all
You	You
behave	behave
as	as
if	if
you	you
were	were
married	married
to	to
her	her
already	already
You	You
are‘nOt‘marri‘ed	are
null	not
null	married
to	to
her	her
already	already
and	and
Idon’t	I
null	dont
think	think
you	you
ever	ever
will	will
be	be
‘ﬂmlyz’oxmmcz	Jack
OF	null
BEING	null
EARivzsr	null
4	null
1mg	null
Why	Why
on	on
earth	earth
do	do
you	you
say	say
that	that
ALGERNON	Algernon
Well	Well
in	in
the	the
ﬁrst	first
place	place
girls	girls
never	never
marry	marry
the	the
men	men
they	they
ﬂirt	flirt
with	with
Girls	Girls
don’t	dont
think	think
it	it
right	right
JACK	Jack
Oh	Oh
that	that
is	is
nonsense	nonsense
ALGERNON	Algernon
It	It
isn’t	isnt
It	It
is	is
a	a
great	great
truth	truth
It	It
accounts	accounts
for	for
the	the
Extraordinary	extraordinary
number	number
of	of
bachelors	bachelors
that	that
one	one
sees	sees
all	all
over	over
the	the
place	place
In	In
the	the
second	second
place	place
I	I
don’t	dont
give	give
my	my
onsent	consent
JACK	Jack
Your	Your
consent	consent
1	Algernon
ALGERNON	null
My	My
dear	dear
fellow	fellow
Gwendolen	Gwendolen
is	is
my	my
ﬁrst	first
cousin	cousin
And	And
before	before
I	I
allow	allow
you	you
to	to
marry	marry
her	her
you	you
will	will
have	have
to	to
clear	clear
up	up
the	the
whole	whole
question	question
of	of
CeCily	Cecily
Rings	Rings
bell	bell
H	Jack
JACK	Cecily
’Cecily	null
What	What
on	on
earth	earth
do	do
you	you
mean	mean
What	What
do7011	do
null	you
mean	mean
Algy	Algy
by	by
Cecily	Cecily
I	I
don’t	dont
know	know
any	any
